target,mean_src,mean_tgt,mean_diff_ratio,std_src,std_tgt,std_ratio,coverage_in_src,KS_stat,KS_pvalue,WD_over_std_src,source_n_nonpos,source_skew,target_n_nonpos,target_skew
dc_gain,224.71036800876428,2192.6754624622768,8.757785018521071,540.6916598172426,6637.348288986772,12.275662419557646,0.9103448275862069,0.48204039408866994,1.7126211006523594e-196,3.6397178664059626,0,3.019972855311159,0,3.7615853386755718
cmrr,12155.562854851287,103578.55289476587,7.52108241564706,145957.60647356408,652791.7801937832,4.472475234183956,0.9970443349753695,0.6104773399014778,6.344e-321,0.626366740065699,0,43.90690524805647,0,16.201930773477997
